KGISWardID,KGISWardCode,LGD_WardCode,KGISWardNo,KGISWardName,KGISTownCode,LST_mean_C,NDVI_mean,NDBI_mean,NDWI_mean,valid_pixels
4878,2003001,1303139.0,1,Kempegowda Ward,2003,42.01,0.3125,-0.0499,-0.3662,12633
4879,2003002,1303140.0,2,Chowdeswari Ward,2003,41.3,0.3706,-0.0461,-0.4222,7676
4882,2003003,1303141.0,3,Someshwara Ward,2003,40.55,0.3861,-0.0765,-0.4307,4302
4883,2003004,1303142.0,4,Atturu Layout,2003,41.62,0.2692,0.001,-0.3404,5582
4886,2003005,1303143.0,5,Yelahanka Satellite Town,2003,40.43,0.3669,-0.0764,-0.414,4493
4910,2003017,1303155.0,17,Shettihalli,2003,36.87,0.3229,-0.0091,-0.3844,2006
4915,2003020,1303158.0,20,Mallasandra,2003,39.21,0.2658,0.0252,-0.3317,1168
4994,2003059,1302731.0,59,Mattikere,2003,41.58,0.2608,0.0005,-0.3172,1003
4995,2003060,1302732.0,60,Aramane Nagara,2003,39.62,0.4416,-0.1101,-0.4587,8314
4998,2003061,1302733.0,61,Malleswaram,2003,41.01,0.363,-0.0474,-0.3912,2009
4950,2003037,1302709.0,37,Chanakya,2003,42.58,0.2086,0.0381,-0.271,596
4958,2003041,1302713.0,41,Peenya,2003,43.49,0.2956,0.0181,-0.3386,3183
4922,2003023,1302695.0,23,Nelagadderanahalli,2003,42.67,0.2739,0.0383,-0.3235,4792
4982,2003053,1302725.0,53,Nandini Layout,2003,41.01,0.338,-0.0465,-0.37,1055
4975,2003050,1302722.0,50,Marappana Palya,2003,42.68,0.2846,0.0068,-0.3272,2116
4999,2003062,1302734.0,62,Subramanya Nagar,2003,40.62,0.2618,-0.0151,-0.3087,1051
5003,2003064,1302736.0,64,Kadu Malleshwara,2003,40.63,0.3227,-0.042,-0.3666,1524
5006,2003065,1302737.0,65,Rajamahal Guttahalli,2003,40.92,0.3133,-0.0396,-0.3571,795
5114,2003119,1302791.0,119,New Bayappanahalli,2003,40.84,0.435,-0.0819,-0.4693,4068
5139,2003132,1302804.0,132,Dattatreya Temple,2003,42.11,0.2628,0.002,-0.3115,789
5143,2003134,1302806.0,134,Subhash Nagar,2003,42.51,0.3132,-0.0303,-0.3443,1463
5002,2003063,1302735.0,63,Gayithri Nagar,2003,41.54,0.2306,0.0171,-0.2835,721
4927,2003026,1302698.0,26,Hegganahalli,2003,44.28,0.2272,0.05,-0.2899,1661
4930,2003027,1302699.0,27,Sunkadakatte,2003,43.86,0.2148,0.0541,-0.2766,1387
4966,2003045,1302717.0,45,Vijayanagara Krishnadevaraya,2003,42.99,0.3044,0.0003,-0.3496,3287
4987,2003056,1302728.0,56,Shankar Matt,2003,41.51,0.2467,-0.0059,-0.297,833
4990,2003057,1302729.0,57,Shakthi Ganapathi Nagar,2003,41.59,0.2368,0.0079,-0.2874,749
4991,2003058,1302730.0,58,Vrisabhavathi Nagar,2003,43.28,0.1908,0.0542,-0.2454,869
5166,2003145,1302817.0,145,Kamakshipalya,2003,41.64,0.2674,-0.014,-0.3155,1106
5163,2003144,1302816.0,144,Basaveshwara Nagar,2003,41.33,0.2865,-0.0277,-0.3331,933
5162,2003143,1302815.0,143,Shivanagara,2003,41.5,0.2694,-0.0154,-0.3123,810
5158,2003141,1302813.0,141,Rajaji Nagar,2003,41.45,0.293,-0.017,-0.3304,933
5159,2003142,1302814.0,142,Sriramamandir,2003,41.81,0.2874,-0.0193,-0.3304,1174
5155,2003140,1302812.0,140,Prakash Nagar,2003,41.25,0.2931,-0.0183,-0.3293,622
5154,2003139,1302811.0,139,Dayananda Nagar,2003,42.14,0.2261,0.0278,-0.2805,503
5146,2003135,1302807.0,135,Okalipuram,2003,42.16,0.2997,-0.0108,-0.3356,908
5142,2003133,1302805.0,133,Gandhinagar,2003,42.29,0.2931,-0.0132,-0.3304,2136
5135,2003130,1302802.0,130,Bharathi Nagar,2003,41.71,0.2758,0.0088,-0.3241,739
5138,2003131,1302803.0,131,Ulsoor,2003,41.28,0.3157,-0.0355,-0.3644,2063
5115,2003120,1302792.0,120,Hoysala Nagar,2003,40.62,0.3594,-0.0546,-0.3984,1728
5126,2003125,1302797.0,125,Konena Agrahara,2003,42.5,0.2501,0.0065,-0.314,995
5151,2003138,1302810.0,138,Chickpete,2003,42.31,0.1689,0.0697,-0.2286,789
5150,2003137,1302809.0,137,Cottonpete,2003,42.8,0.2707,0.0055,-0.3158,846
5147,2003136,1302808.0,136,Binnipete,2003,42.95,0.2227,0.0384,-0.2749,860
4942,2003033,1302705.0,33,Kengeri,2003,42.61,0.3323,-0.0269,-0.3787,2849
6926,2003210,,210,Basavanagudi,2003,41.1,0.2793,-0.0171,-0.3273,1238
6927,2003212,,212,Srinivasa Nagar,2003,42.03,0.234,0.0049,-0.2901,796
6928,2003213,,213,Srinagar,2003,41.68,0.2342,0.0018,-0.2877,935
6929,2003214,,214,Girinagar,2003,40.97,0.292,-0.0352,-0.3393,1565
4943,2003034,1302706.0,34,Bande Mutt,2003,43.79,0.3302,0.0007,-0.3863,7537
6930,2003243,,243,Kudlu,2003,43.2,0.2917,0.0078,-0.3466,3707
5087,2003106,1302778.0,106,Hudi,2003,43.37,0.2577,0.0155,-0.3225,10006
5106,2003115,1302787.0,115,Bellanduru,2003,41.81,0.3258,-0.0315,-0.3769,10553
5103,2003114,1302786.0,114,Marathahalli,2003,43.28,0.2209,0.0397,-0.2919,4719
5090,2003107,1302779.0,107,Garudachar Playa,2003,42.92,0.253,0.0194,-0.3093,2579
5119,2003122,1302794.0,122,New Thippasandra,2003,41.34,0.346,-0.0514,-0.3805,2919
5122,2003123,1302795.0,123,Jalakanteshwara Nagara,2003,42.0,0.2213,-0.0028,-0.28,1626
4978,2003051,1302723.0,51,Nagapura,2003,40.69,0.2956,-0.029,-0.3383,1902
4983,2003054,1302726.0,54,Jai Maruthinagara,2003,41.56,0.2524,-0.0108,-0.2952,662
4986,2003055,1302727.0,55,Puneet Rajkumar,2003,41.7,0.2341,-0.0015,-0.2804,736
5134,2003129,1302801.0,129,Sampangiram Nagar,2003,39.56,0.4404,-0.1206,-0.4504,3937
5118,2003121,1302793.0,121,Old Thippasandra,2003,40.31,0.3686,-0.0676,-0.405,2298
5123,2003124,1302796.0,124,Jeevanbhima Nagar,2003,40.11,0.408,-0.0826,-0.4307,2743
4955,2003040,1302712.0,40,Veeramadakari,2003,40.91,0.3994,-0.0504,-0.4317,5549
5062,2003093,1302765.0,93,HAL Airport,2003,44.51,0.3413,0.0059,-0.3904,8099
4959,2003042,1302714.0,42,Lakshmi Devi Nagar,2003,43.36,0.2447,0.0458,-0.3015,896
4938,2003031,1302703.0,31,Doddagollarahatti,2003,43.56,0.3001,0.0218,-0.3674,8190
4939,2003032,1302704.0,32,Ullal,2003,43.07,0.328,-0.0094,-0.3826,5720
4918,2003021,1303159.0,21,T Dasarahalli,2003,37.87,0.2343,0.0331,-0.2897,903
4919,2003022,1303160.0,22,Chokkasandra,2003,38.84,0.2682,0.0223,-0.3182,696
4923,2003024,1302696.0,24,Rajagopal Nagar,2003,42.97,0.2694,0.0275,-0.3143,2068
4926,2003025,1302697.0,25,Rajeshwari Nagar,2003,44.0,0.2408,0.0337,-0.3028,1342
4962,2003043,1302715.0,43,Ranadheera Kanteerava,2003,42.94,0.2199,0.0275,-0.2754,1149
4963,2003044,1302716.0,44,Veera Sindhura Lakshamana,2003,43.37,0.2343,0.0416,-0.2964,1543
4967,2003046,1302718.0,46,Sir M. Vishweshwaraiah,2003,44.03,0.2676,0.0247,-0.3275,4056
